Year,Month,tran_Lat,tran_Lon,No,Day,Lat,Lon,SST.boat.,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,Tonnage.A,HP.A,Light.A,area,cluster11,cluster12,cluster13,SST,chla,SSS,dummy
2009,3,25.6,121.8,15517,27,25.51,121.87,20.9,120,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,8,7,7,19.1,0.7,-0.01,1
2009,3,25.6,121.8,15485,21,25.58,121.7,20.3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,19.1,0.7,-0.01,0
2009,3,25.6,122.2,15466,15,25.5,122.1,20.7,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.48,0.73,0,0
2009,3,25.6,122.2,15482,20,25.5,122.1,20.7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.48,0.73,0,0
2009,3,25.6,122.2,15463,14,25.5,122.1,20.7,52.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.48,0.73,0,0
2009,3,25.6,122.2,15461,13,25.5,122.1,20.7,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.48,0.73,0,0
2009,3,26.4,122.8,15522,27,26.48,122.87,19.1,360,5,NA,18,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15528,28,26.47,122.8,17.3,150,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15433,2,26.35,122.88,21,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15456,10,26.33,122.85,21,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15430,1,26.32,122.87,21,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15443,5,26.33,122.83,21,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15444,6,26.35,122.85,21,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15446,7,26.33,122.87,21,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15449,8,26.32,122.83,21,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15452,9,26.32,122.87,21,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,122.8,15513,26,26.35,122.83,20,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.24,0.46,-0.01,1
2009,3,26.4,123,15435,3,26.33,122.92,21,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.2,0.46,-0.01,1
2009,3,26.4,123,15439,4,26.37,122.92,21,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,23.2,0.46,-0.01,1
2009,3,26.4,123.6,15535,29,26.47,123.67,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,10,4,1,23.17,0.29,0,1
2009,3,26.4,123.6,15549,31,26.3,123.67,23.8,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,8,7,7,23.17,0.29,0,1
2009,3,26.4,123.6,15548,31,26.47,123.5,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,8,7,7,23.17,0.29,0,1
2009,3,26.4,123.6,15542,30,26.45,123.6,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,8,7,7,23.17,0.29,0,1
2009,3,26.4,123.8,15550,31,26.32,123.87,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,10,4,1,22.26,NA,-0.01,1
2009,3,26.4,123.8,15536,29,26.45,123.83,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,10,4,1,22.26,NA,-0.01,1
2009,3,26.4,124.4,15538,29,26.3,124.37,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,10,4,1,23.01,NA,-0.01,1
2009,3,26.4,124.4,15532,28,26.33,124.33,23.2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,8,7,7,23.01,NA,-0.01,1
2009,3,26.4,124.4,15533,28,26.38,124.42,19,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,8,7,7,23.01,NA,-0.01,1
2009,3,26.4,124.6,15526,27,26.42,124.5,23.5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,8,7,7,23.3,0.19,-0.01,1
2009,3,26.4,124.6,15539,29,26.4,124.62,19,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,8,7,7,23.3,0.19,-0.01,1
2009,3,26.6,122.8,15547,31,26.53,122.82,18.8,1.2,1,NA,18,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,9,8,11,20.32,0.86,-0.01,1
2009,3,26.6,122.8,15541,30,26.52,122.88,18.1,210,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,8,7,7,20.32,0.86,-0.01,1
2009,3,26.6,122.8,15534,29,26.5,122.83,17.9,60,1,NA,6,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,8,7,7,20.32,0.86,-0.01,1
2009,3,26.6,123.6,15529,28,26.5,123.6,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,10,4,1,22.07,0.47,0,1
2009,3,26.6,123.6,15514,26,26.52,123.65,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,10,4,1,22.07,0.47,0,1
2009,3,26.6,123.6,15484,20,26.63,123.65,20,120,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,2,3,6,22.07,0.47,0,1
2009,3,26.6,123.6,15504,25,26.55,123.63,21,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,8,7,7,22.07,0.47,0,1
2009,3,26.6,123.8,15531,28,26.5,123.87,22.5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,8,7,7,21.9,0.49,-0.01,1
2009,3,26.6,123.8,15490,21,26.67,123.7,21,180,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,2,3,6,21.9,0.49,-0.01,1
2009,3,26.6,123.8,15523,27,26.7,123.77,20,30,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,8,7,7,21.9,0.49,-0.01,1
2009,3,26.6,123.8,15502,24,26.58,123.7,22,720,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,8,7,7,21.9,0.49,-0.01,1
2009,3,26.6,123.8,15543,30,26.5,123.87,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,10,4,1,21.9,0.49,-0.01,1
2009,3,26.6,124,15525,27,26.58,123.92,23.3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,8,7,7,21.83,0.47,-0.01,1
2009,3,26.6,124.2,15544,30,26.67,124.13,18,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,8,7,7,21.67,0.41,-0.01,1
2009,3,26.6,124.4,15515,26,26.5,124.42,23.6,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,8,7,7,21.51,0.39,-0.01,1
2009,3,26.8,123.8,15493,22,26.83,123.87,21,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,8,7,7,20.91,0.41,-0.01,1
2009,3,26.8,123.8,15496,23,26.77,123.8,22,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,8,7,7,20.91,0.41,-0.01,1
2009,4,25,122,15602,8,25.05,121.97,22.7,72,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,2,1,1,1,2,3,8,22.61,0.44,0.01,0
2009,4,25,122,15733,25,25.05,121.97,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,10,4,1,22.61,0.44,0.01,0
2009,4,25,122,15746,26,25.05,121.97,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,10,4,1,22.61,0.44,0.01,0
2009,4,25,122,15718,24,25.07,121.97,22.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,8,7,7,22.61,0.44,0.01,0
2009,4,25,122,15612,13,24.95,121.97,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,10,4,1,22.61,0.44,0.01,0
2009,4,25,122,15758,27,25.07,121.97,22.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,8,7,7,22.61,0.44,0.01,0
2009,4,25,122,15598,7,25.05,121.97,22.7,NA,NA,NA,NA,NA,NA,NA,21.6,NA,NA,NA,2,1,1,1,5,4,5,22.61,0.44,0.01,0
2009,4,25,122,15592,6,25.05,121.97,22.7,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,2,1,1,1,5,4,5,22.61,0.44,0.01,0
2009,4,25,122,15653,19,25.05,121.97,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,10,4,1,22.61,0.44,0.01,0
2009,4,25,122,15679,21,25.07,121.97,22.7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,8,7,7,22.61,0.44,0.01,0
2009,4,25.2,121.8,15769,28,25.16,121.78,22,0,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,2,1,1,1,5,4,5,21.63,0.56,-0.03,0
2009,4,25.2,121.8,15791,30,25.14,121.82,22,0,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,2,1,1,1,5,4,5,21.63,0.56,-0.03,0
2009,4,25.2,121.8,15743,26,25.16,121.78,22,0,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,2,1,1,1,5,4,5,21.63,0.56,-0.03,0
2009,4,25.2,121.8,15689,22,25.18,121.82,22.4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,8,7,7,21.63,0.56,-0.03,1
2009,4,25.2,121.8,15570,3,25.14,121.82,22,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.63,0.56,-0.03,0
2009,4,25.2,121.8,15597,7,25.14,121.82,22,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.63,0.56,-0.03,0
2009,4,25.2,121.8,15730,25,25.16,121.78,22,0,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,2,1,1,1,5,4,5,21.63,0.56,-0.03,0
2009,4,25.2,121.8,15756,27,25.16,121.78,22,0,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,2,1,1,1,5,4,5,21.63,0.56,-0.03,0
2009,4,25.2,121.8,15677,21,25.18,121.77,22,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,8,7,7,21.63,0.56,-0.03,0
2009,4,25.4,121.8,15690,22,25.49,121.89,26.1,288,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,8,7,7,22.28,0.58,-0.04,1
2009,4,25.4,121.8,15615,15,25.48,121.88,24.6,168,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,8,7,7,22.28,0.58,-0.04,1
2009,4,25.4,121.8,15587,5,25.47,121.87,24.7,210,NA,NA,12,NA,80,NA,NA,NA,NA,NA,3,2,1,1,2,10,8,22.28,0.58,-0.04,1
2009,4,25.4,121.8,15676,21,25.32,121.73,22.1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,8,7,7,22.28,0.58,-0.04,1
2009,4,25.4,121.8,15717,24,25.3,121.85,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,10,4,1,22.28,0.58,-0.04,1
2009,4,25.4,121.8,15579,4,25.4,121.87,21.6,120,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,8,7,7,22.28,0.58,-0.04,1
2009,4,25.4,122,15623,16,25.48,121.9,25,192,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,8,7,7,21.55,0.4,-0.04,1
2009,4,25.4,122,15559,2,25.4,121.9,24,42,NA,NA,6,NA,1200,NA,NA,NA,NA,NA,3,2,1,1,6,9,2,21.55,0.4,-0.04,1
2009,4,25.4,122,15745,26,25.47,121.93,21.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,8,7,7,21.55,0.4,-0.04,1
2009,4,25.4,122.2,15691,22,25.48,122.12,22.6,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,2,1,1,1,5,4,5,22.58,NA,-0.01,0
2009,4,25.4,122.2,15747,26,25.48,122.12,22.6,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,2,1,1,1,5,4,5,22.58,NA,-0.01,0
2009,4,25.4,122.2,15705,23,25.48,122.12,22.6,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,2,1,1,1,5,4,5,22.58,NA,-0.01,0
